"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q65","QID1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q30","Q29","Q28","AB1","AB3","AB4","AB5","AB8","AB10","AB11","V14","V16","V17","V19","V21","V22","D25","D26","D28","D31","D32","D34","D35","Q67","Q68","Q69","Q70","Q71","Q63","Q64","Q54","Q65.1","Q64.1","Q63.1","Q62","Q80","Q83","Q82","Q81","Q66","Q68.1","Q78","Q71.1","Q77","Q74","Q69.1","Q70.1","Q67.1","opp","gc","term","cintid","ProjectToken","gid","sname","TolunaEnc","Q_BallotBoxStuffing","Q_RelevantIDDuplicate","Q_RelevantIDDuplicateScore","Q_RecaptchaScore","Q_RelevantIDFraudScore","Q_TotalDuration","Q_CHL","GeoIP","careless_long","irv","irv2","flag"
"11",13,"2021-10-08 17:12:46","2021-10-08 17:15:50",0,"107.77.220.226",100,183,1,"2021-10-08 17:15:50","R_2wT7jcAxbEAa1gv",NA,NA,NA,NA,29.7738037109375,-95.4059982299805,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,5,5,6,6,6,6,6,6,6,3,6,3,5,6,6,2,3,5,5,6,6,4,4,5,5,5,6,6,6,5,6,6,5,5,5,5,5,5,4,1,5,5,5,5,3,3,3,4,3,1,4,3,2,"Office management ",2,3,7,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"ad1ad4f8-05f2-8131-214c-e331e824e214","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,183,"anonymous",NA,7,0.957427107756338,NA,"Flagged"
"12",14,"2021-10-08 17:12:34","2021-10-08 17:15:50",0,"66.169.90.24",100,196,1,"2021-10-08 17:15:51","R_1FFjObfScY0OOvq",NA,NA,NA,NA,35.5397033691406,-82.5150985717773,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,3,6,2,6,4,6,7,4,2,4,6,7,5,3,4,5,4,4,5,5,4,5,4,3,6,4,4,4,5,5,4,5,5,4,5,5,4,4,2,5,4,2,2,3,1,3,3,2,4,4,1,13,1,2,"Driver",4,5,3,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"9eefefd6-3027-baa4-d462-d8c48061d03a","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,196,"anonymous",NA,3,1.29099444873581,NA,"Flagged"
"13",15,"2021-10-08 17:11:23","2021-10-08 17:16:38",0,"216.82.145.105",100,314,1,"2021-10-08 17:16:38","R_9obXehVKU1YipFf",NA,NA,NA,NA,29.3491058349609,-98.1147003173828,"anonymous","EN",4,5,7,5,5,5,5,5,3,3,4,5,6,7,7,6,6,7,7,7,7,7,7,6,1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,4,1,5,5,5,5,2,1,1,1,1,1,6,5,2,"Clerical ",4,6,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"0152bba6-7c1f-edda-6912-8c798fcd7d4b","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,314,"anonymous",NA,6,NA,1.15470053837925,"use"
"14",16,"2021-10-08 17:14:22","2021-10-08 17:18:07",0,"74.194.219.110",100,224,1,"2021-10-08 17:18:07","R_3COwa2Rx8kaPBgP",NA,NA,NA,NA,30.6293029785156,-97.668701171875,"anonymous","EN",4,1,1,1,5,1,1,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,5,3,1,5,5,5,5,3,3,3,3,3,7,10,1,1,"volunteer",4,6,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"d5fa207f-91aa-797a-c1cb-17d1606b1693","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,224,"anonymous",NA,20,0,2,"Flagged"
"15",17,"2021-10-08 17:09:07","2021-10-08 17:19:31",0,"72.36.45.26",100,624,1,"2021-10-08 17:19:32","R_dd9GmBQgynIOARX",NA,NA,NA,NA,43.5395050048828,-109.654602050781,"anonymous","EN",4,4,7,4,2,4,4,4,2,4,4,4,6,6,6,6,7,6,6,6,6,6,6,6,5,6,7,6,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,3,NA,NA,NA,NA,NA,4,4,5,3,1,11,3,4,"It director",1,3,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"24c9ad7a-fa2d-e066-f2ce-9ae248e31d97","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,624,"anonymous",NA,15,0,1,"Flagged"
"16",18,"2021-10-08 17:15:02","2021-10-08 17:19:42",0,"107.127.7.136",100,280,1,"2021-10-08 17:19:42","R_PAsmrD40hl2zYwp",NA,NA,NA,NA,42.4651947021484,-83.3712997436523,"anonymous","EN",4,4,6,3,2,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,2,5,4,1,5,5,5,3,2,2,2,3,2,1,13,4,3,"shift manager",3,3,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"800e3b5c-2125-65b3-35e8-0c2533fe26b1","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,280,"anonymous",NA,12,0,0,"Flagged"
"17",19,"2021-10-08 17:13:35","2021-10-08 17:20:41",0,"172.58.176.191",100,426,1,"2021-10-08 17:20:42","R_vjhEQvdqe3G1I4h",NA,NA,NA,NA,32.7319030761719,-96.9057006835938,"anonymous","EN",4,3,6,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,4,4,4,2,2,2,2,2,3,3,3,3,1,10,6,2,"Customer contact representative",4,3,4,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"913999b2-c318-c9d9-0206-ae1276d42a5f","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,426,"anonymous",NA,17,NA,0,"Flagged"
"18",20,"2021-10-08 17:16:18","2021-10-08 17:20:42",0,"65.31.137.120",100,263,1,"2021-10-08 17:20:42","R_1eqSUGuADnFumhA",NA,NA,NA,NA,43.0756988525391,-87.940299987793,"anonymous","EN",4,4,6,4,3,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,4,2,3,5,5,4,3,5,6,5,4,5,4,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,2,3,3,3,3,2,5,2,1,"Teaching Assistant ",4,2,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"f4f6bb99-98a9-e6a1-cd2d-8cddb6771975","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,263,"anonymous",NA,9,1.29099444873581,0.5,"Flagged"
"19",21,"2021-10-08 17:17:40","2021-10-08 17:20:56",0,"172.58.203.200",100,195,1,"2021-10-08 17:20:56","R_3dG2TkCjL959gmR",NA,NA,NA,NA,39.9945068359375,-75.1648025512695,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,5,4,6,5,6,6,6,5,5,5,5,4,4,7,4,6,4,6,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,2,2,1,2,1,2,3,2,"Journeyman ",4,3,3,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"52a83d5b-2924-1dfe-93ef-0a8383ffeeb6","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,195,"anonymous",NA,13,0.5,NA,"Flagged"
"20",22,"2021-10-08 17:11:39","2021-10-08 17:21:08",0,"172.58.56.128",100,569,1,"2021-10-08 17:21:09","R_2CIL7F63Cz4sG6M",NA,NA,NA,NA,35.0505981445312,-106.724899291992,"anonymous","EN",4,5,6,5,4,5,4,4,4,3,4,5,4,4,6,3,4,5,6,4,3,4,7,7,7,5,5,6,5,5,5,6,4,4,4,5,3,4,4,4,4,4,5,4,4,4,4,5,5,5,5,4,5,5,4,1,NA,NA,NA,NA,NA,1,1,2,1,8,6,1,1,"Day trader ",4,3,4,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"72b38bfe-9d2c-dd18-884a-bc9858fe9c13","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,569,"anonymous",NA,5,0.5,0.5,"use"
"21",23,"2021-10-08 17:17:18","2021-10-08 17:21:17",0,"172.58.129.199",100,239,1,"2021-10-08 17:21:18","R_1etIQwg4X73WaUX",NA,NA,NA,NA,26.1374053955078,-80.1684036254883,"anonymous","EN",4,5,7,5,1,5,5,5,5,3,5,5,5,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,1,5,4,4,2,2,1,1,1,2,1,16,2,2,"Forklift operator ",4,3,1,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"bdee0087-7780-2023-d533-37c5895d906a","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,239,"anonymous",NA,8,NA,1,"Flagged"
"22",24,"2021-10-08 17:17:37","2021-10-08 17:21:39",0,"76.49.29.136",100,242,1,"2021-10-08 17:21:39","R_3feZfOgo6J9pyqi",NA,NA,NA,NA,36.0321960449219,-79.8588027954102,"anonymous","EN",4,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,1,5,5,1,5,3,3,1,1,3,3,3,3,1,10,2,2,"Daycare teacher",4,2,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"6100b889-3b7d-994a-3b3d-8f2b2e1ed365","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,242,"anonymous",NA,17,NA,0,"Flagged"
"23",25,"2021-10-08 17:17:02","2021-10-08 17:21:52",0,"108.7.184.61",100,290,1,"2021-10-08 17:21:53","R_8ul927CSVhqFd3b",NA,NA,NA,NA,42.2904052734375,-71.0711975097656,"anonymous","EN",4,5,6,5,1,5,5,5,2,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,5,2,5,1,5,5,1,5,5,5,5,2,1,5,5,3,8,11,1,3,"Crew member it tech ",4,2,4,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"8cf3d162-dc0a-f20c-c8d6-e6d89e53dc8f","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,290,"anonymous",NA,13,0,1.5,"Flagged"
"24",26,"2021-10-08 17:12:45","2021-10-08 17:21:54",0,"184.53.16.246",100,549,1,"2021-10-08 17:21:55","R_3pbbtzMhGFV1bpl",NA,NA,NA,NA,47.6033935546875,-122.341400146484,"anonymous","EN",4,2,2,2,2,2,4,4,4,2,2,2,1,4,4,1,1,3,1,1,3,4,2,4,1,3,3,1,3,5,5,2,1,2,1,5,2,2,2,5,5,2,2,5,2,2,5,2,5,4,5,3,1,3,2,1,NA,NA,NA,NA,NA,4,4,2,4,6,6,1,1,"None ",4,3,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"312c0ec4-30c3-5bc9-1770-39073084d429","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,549,"anonymous",NA,5,1.5,1,"use"
"25",27,"2021-10-08 17:17:15","2021-10-08 17:21:56",0,"24.228.161.103",100,281,1,"2021-10-08 17:21:57","R_1q9Fwg2ajaQ7CD4",NA,NA,NA,NA,40.5827941894531,-73.9532012939453,"anonymous","EN",4,4,6,3,2,3,3,3,2,3,3,3,5,5,5,6,5,4,5,5,5,6,6,5,6,5,6,4,6,5,4,2,4,4,4,5,3,5,4,4,5,5,5,5,5,5,4,5,4,5,5,5,2,5,3,2,2,2,2,1,1,2,2,2,2,1,16,2,2,"Manager",2,6,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"46b9c63c-a3e0-e6bd-8288-f192d7c14ad1","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,281,"anonymous",NA,6,0.816496580927726,0.5,"Flagged"
"26",28,"2021-10-08 17:17:25","2021-10-08 17:21:58",0,"72.23.143.122",100,273,1,"2021-10-08 17:21:58","R_2pXpVb3lkSXMcFc",NA,NA,NA,NA,41.0220031738281,-80.665901184082,"anonymous","EN",4,4,6,4,4,4,4,4,4,4,4,4,6,6,5,6,7,4,6,6,6,7,7,7,3,4,7,3,7,6,6,6,6,6,6,6,2,6,6,6,6,6,4,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,3,2,2,2,2,2,3,2,2,"Sales Associate",4,2,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"15d1fb72-dc8b-da02-eac6-ccfa0fd11b9e","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,273,"anonymous",NA,9,2,0,"Flagged"
"27",29,"2021-10-08 17:16:53","2021-10-08 17:22:03",0,"172.56.10.189",100,309,1,"2021-10-08 17:22:03","R_1E67qM1ChQ4ndvc",NA,NA,NA,NA,42.4257049560547,-83.1521987915039,"anonymous","EN",4,4,7,5,2,5,4,4,1,5,4,5,3,3,2,3,3,2,4,3,5,7,6,6,7,6,6,7,7,5,5,5,5,6,6,6,6,5,5,5,4,6,6,5,5,5,5,5,5,3,5,4,4,5,4,4,4,5,5,4,5,4,2,4,3,2,3,2,3,"Construction ",2,3,6,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"95cad1e4-e69d-f36b-f150-e6e10ec2e309","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,309,"anonymous",NA,6,0.5,1.73205080756888,"use"
"28",30,"2021-10-08 17:17:13","2021-10-08 17:22:07",0,"71.210.206.160",100,294,1,"2021-10-08 17:22:07","R_TwnE1gqXuw6qqit",NA,NA,NA,NA,36.3325042724609,-78.6156005859375,"anonymous","EN",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,1,4,4,4,4,4,4,4,3,4,2,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,1,5,5,5,5,3,2,2,2,3,6,2,1,2,"Construction ",4,5,3,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"75d42710-e671-04c6-efa4-10ff0d31fffd","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,294,"anonymous",NA,16,0,NA,"Flagged"
"29",31,"2021-10-08 17:16:46","2021-10-08 17:22:08",0,"172.58.235.195",100,321,1,"2021-10-08 17:22:08","R_6nZm0rK3iEWQa9r",NA,NA,NA,NA,40.7640991210938,-74.165397644043,"anonymous","EN",4,4,2,3,3,3,4,2,3,3,2,3,4,4,4,4,4,5,4,5,4,4,5,4,5,4,4,4,5,4,3,4,3,4,4,3,4,3,4,3,3,3,3,3,4,3,3,4,4,5,2,5,1,5,4,2,NA,NA,NA,NA,NA,4,3,2,3,8,4,1,2,"Homemaker ",4,2,4,2,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"8d26656b-dd90-4759-1ddf-520dd3ce3587","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,321,"anonymous",NA,5,0.577350269189626,0.816496580927726,"use"
"30",32,"2021-10-08 17:16:26","2021-10-08 17:22:12",0,"160.3.111.67",100,346,1,"2021-10-08 17:22:13","R_1ilix9GtqT7uD0o",NA,NA,NA,NA,34.1687927246094,-109.990196228027,"anonymous","EN",4,5,7,4,4,5,4,5,4,4,4,4,7,7,7,7,7,6,7,7,7,7,7,7,7,6,6,6,7,4,6,5,5,5,3,5,2,4,5,6,5,5,5,5,6,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,2,2,2,2,2,1,15,3,4,"Director of Project Management",1,6,7,1,"Qual2726-0929-JohnWorkingAdults(s)",1,NA,"2d1c51a6-0445-0c59-2712-6637269ce14a","c6cbf53e-3b58-490f-b29e-cae36e4ac6ff",NA,"",NA,NA,NA,NA,NA,NA,346,"anonymous",NA,7,1.70782512765993,0.5,"use"
